Price,Date,Adj Close,Close,High,Low,Open,Volume
0,2019-12-10,152.4130859375,162.3699951171875,164.32000732421875,161.42999267578125,162.2899932861328,1189900
1,2019-12-11,156.87179565429688,167.1199951171875,167.42999267578125,162.67999267578125,162.77999877929688,934100
2,2019-12-12,160.9456787109375,171.4600067138672,171.9199981689453,166.6999969482422,166.97999572753906,1627000
3,2019-12-13,160.73916625976562,171.24000549316406,173.08999633789062,170.1199951171875,170.9499969482422,1152800
4,2019-12-16,161.50888061523438,172.05999755859375,175.0,172.02999877929688,174.74000549316406,1306000
5,2019-12-17,165.16973876953125,175.9600067138672,176.1199951171875,172.07000732421875,172.07000732421875,1333400
6,2019-12-18,164.51263427734375,175.25999450683594,177.47000122070312,175.25999450683594,175.89999389648438,1516300
7,2019-12-19,164.7003936767578,175.4600067138672,176.22000122070312,172.86000061035156,175.6999969482422,1187800
8,2019-12-20,166.58712768554688,177.47000122070312,177.83999633789062,174.97000122070312,176.82000732421875,2695100
9,2019-12-23,166.24917602539062,177.11000061035156,179.24000549316406,176.89999389648438,178.86000061035156,969100
10,2019-12-24,167.1879119873047,178.11000061035156,178.19000244140625,176.27999877929688,177.7899932861328,257700
11,2019-12-26,167.7886199951172,178.75,178.8000030517578,177.13999938964844,178.5800018310547,527900
12,2019-12-27,167.57273864746094,178.52000427246094,179.7100067138672,177.36000061035156,179.25,553900
13,2019-12-30,167.43194580078125,178.3699951171875,178.9199981689453,175.22999572753906,178.02000427246094,756400
14,2019-12-31,167.24420166015625,178.1699981689453,178.50999450683594,176.3000030517578,177.38999938964844,869400
15,2020-01-02,171.3743896484375,182.57000732421875,182.6999969482422,180.02000427246094,180.77999877929688,1056900
16,2020-01-03,168.09837341308594,179.0800018310547,181.1699981689453,177.86000061035156,179.3300018310547,833400
17,2020-01-06,164.31552124023438,175.0500030517578,177.55999755859375,174.08999633789062,176.32000732421875,1266800
18,2020-01-07,165.6202850341797,176.44000244140625,177.77000427246094,174.3000030517578,176.13999938964844,1139300
19,2020-01-08,165.83621215820312,176.6699981689453,178.66000366210938,175.52000427246094,176.5,883500
20,2020-01-09,164.72854614257812,175.49000549316406,179.4199981689453,174.9499969482422,178.41000366210938,916900
21,2020-01-10,162.40061950683594,173.00999450683594,177.42999267578125,171.9499969482422,176.41000366210938,883800
22,2020-01-13,164.36245727539062,175.10000610351562,175.11000061035156,173.36000061035156,173.97000122070312,662000
23,2020-01-14,166.59654235839844,177.47999572753906,178.22000122070312,174.07000732421875,175.91000366210938,1279600
24,2020-01-15,167.00953674316406,177.9199981689453,178.6999969482422,175.85000610351562,177.08999633789062,922800
25,2020-01-16,169.81617736816406,180.91000366210938,181.8300018310547,179.00999450683594,179.5,1197200
26,2020-01-17,167.7698516845703,178.72999572753906,180.89999389648438,177.36000061035156,180.8699951171875,1604700
27,2020-01-21,167.84495544433594,178.80999755859375,180.88999938964844,177.57000732421875,177.64999389648438,1571400
28,2020-01-22,169.08401489257812,180.1300048828125,182.77999877929688,179.8699951171875,180.0,1084600
29,2020-01-23,171.3555908203125,182.5500030517578,182.66000366210938,179.1199951171875,179.82000732421875,1056900
30,2020-01-24,168.39877319335938,179.39999389648438,184.5,178.42999267578125,183.8800048828125,961000
31,2020-01-27,159.8661651611328,170.30999755859375,175.22999572753906,169.85000610351562,174.77000427246094,1581300
32,2020-01-28,165.14154052734375,175.92999267578125,176.3300018310547,171.6999969482422,172.1999969482422,938100
