Price,Date,Adj Close,Close,High,Low,Open,Volume
41,2020-02-10,172.5343017578125,184.07000732421875,184.42999267578125,179.00999450683594,179.00999450683594,1107300
42,2020-02-11,172.89988708496094,184.4600067138672,186.97000122070312,184.3699951171875,185.83999633789062,1111400
43,2020-02-12,173.09671020507812,184.6699981689453,185.08999633789062,181.4499969482422,183.9499969482422,1176400
44,2020-02-13,172.5811767578125,184.1199951171875,185.33999633789062,183.2899932861328,184.0,666700
45,2020-02-14,172.85299682617188,184.41000366210938,184.47000122070312,182.61000061035156,183.6199951171875,882300
46,2020-02-18,173.28414916992188,184.8699951171875,185.57000732421875,183.66000366210938,184.3000030517578,746500
47,2020-02-19,174.45582580566406,186.1199951171875,186.97999572753906,184.85000610351562,185.32000732421875,786900
48,2020-02-20,173.96844482421875,185.60000610351562,187.49000549316406,183.02999877929688,186.02000427246094,902800
49,2020-02-21,173.6591033935547,185.27000427246094,185.82000732421875,183.75,185.11000061035156,965300
50,2020-02-24,170.4065704345703,181.8000030517578,185.16000366210938,180.80999755859375,181.8699951171875,830300
51,2020-02-25,166.94778442382812,178.11000061035156,183.49000549316406,178.0800018310547,182.33999633789062,1042700
52,2020-02-26,166.61033630371094,177.75,180.52999877929688,176.4499969482422,178.8699951171875,811600
53,2020-02-27,158.2306365966797,168.80999755859375,176.72999572753906,168.75,175.44000244140625,1305200
54,2020-02-28,155.29678344726562,165.67999267578125,166.50999450683594,159.75999450683594,164.88999938964844,2873300
55,2020-03-02,162.6173858642578,173.49000549316406,173.5500030517578,166.1699981689453,166.80999755859375,1510200
56,2020-03-03,164.02334594726562,174.99000549316406,178.60000610351562,171.6300048828125,174.27999877929688,1466200
57,2020-03-04,170.97833251953125,182.41000366210938,182.42999267578125,176.6699981689453,177.27999877929688,1120500
58,2020-03-05,169.14117431640625,180.4499969482422,181.27999877929688,178.02000427246094,178.64999389648438,1288700
59,2020-03-06,164.8950958251953,175.9199981689453,176.9600067138672,172.39999389648438,175.94000244140625,1640600
60,2020-03-09,155.3061981201172,165.69000244140625,170.7899932861328,162.02999877929688,165.27999877929688,2003900
61,2020-03-10,160.0303192138672,170.72999572753906,170.77999877929688,162.9199981689453,169.72000122070312,1825000
62,2020-03-11,151.10693359375,161.2100067138672,167.3800048828125,159.4199981689453,166.72000122070312,1270200
63,2020-03-12,133.0384979248047,141.3699951171875,152.8699951171875,136.00999450683594,150.49000549316406,2452000
64,2020-03-13,145.8181610107422,154.9499969482422,154.99000549316406,144.22999572753906,149.7100067138672,2111000
65,2020-03-16,136.68040466308594,145.24000549316406,150.10000610351562,138.47000122070312,138.5800018310547,2416300
66,2020-03-17,140.52935791015625,149.3300018310547,157.0800018310547,144.17999267578125,148.38999938964844,1939600
67,2020-03-18,139.46595764160156,148.1999969482422,148.99000549316406,136.2899932861328,142.82000732421875,1413400
68,2020-03-19,140.89637756347656,149.72000122070312,154.80999755859375,145.9499969482422,147.94000244140625,1629100
69,2020-03-20,128.5590057373047,136.61000061035156,150.0800018310547,132.7899932861328,148.64999389648438,2639600
70,2020-03-23,117.21916961669922,124.55999755859375,136.4499969482422,120.7699966430664,135.82000732421875,2023100
71,2020-03-24,123.10081481933594,130.80999755859375,136.60000610351562,127.44000244140625,129.11000061035156,1993800
72,2020-03-25,125.78288269042969,133.66000366210938,135.67999267578125,129.50999450683594,130.47000122070312,2293900
73,2020-03-26,140.2093963623047,148.99000549316406,149.69000244140625,134.47999572753906,135.4199981689453,1618700
74,2020-03-27,127.1097640991211,135.07000732421875,145.7899932861328,133.5800018310547,144.91000366210938,1783000
75,2020-03-30,125.50995635986328,133.3699951171875,136.67999267578125,130.19000244140625,135.94000244140625,2067300
76,2020-03-31,125.08647918701172,132.9199981689453,134.92999267578125,130.38999938964844,133.0500030517578,2817400
77,2020-04-01,118.65898895263672,126.08999633789062,129.36000061035156,123.55999755859375,128.22000122070312,2292400
78,2020-04-02,122.71498107910156,130.39999389648438,130.9600067138672,124.73999786376953,125.5999984741211,1239100
79,2020-04-03,119.15776824951172,126.62000274658203,131.58999633789062,125.97000122070312,129.75,1344700
80,2020-04-06,132.59620666503906,140.89999389648438,141.8800048828125,131.5500030517578,132.10000610351562,1769400
81,2020-04-07,134.0454559326172,142.44000244140625,148.30999755859375,142.25,144.97000122070312,1483500
82,2020-04-08,139.06129455566406,147.77000427246094,149.52000427246094,143.44000244140625,144.10000610351562,1049900
83,2020-04-09,143.8795623779297,152.88999938964844,153.47000122070312,147.58999633789062,149.24000549316406,1236700
84,2020-04-13,137.6214599609375,146.24000549316406,152.66000366210938,145.11000061035156,150.3000030517578,822200
85,2020-04-14,143.7854461669922,152.7899932861328,153.2100067138672,149.0399932861328,149.27999877929688,821300
86,2020-04-15,139.8612060546875,148.6199951171875,150.63999938964844,147.86000061035156,149.7100067138672,867000
87,2020-04-16,143.74778747558594,152.75,153.1999969482422,148.19000244140625,148.8699951171875,767300
88,2020-04-17,148.4720001220703,157.77000427246094,157.9499969482422,154.6999969482422,155.72000122070312,941700
